points_diff
1
-2
-1
-3
-2
-3
3
0
2
-6
-5
-7
-6
-7
0
-2
-1
-2
4
1
2
1
2
1
6
4
6
5
12
11
12
11
8
11
10
6
7
4
3
1
2
0
5
4
3
2
7
6
3
4
2
3
0
1
-1
8
5
2
4
11
13
21
