board_value_range
19
19
19
19
19
19
19
21
21
21
15
15
15
15
15
14
14
14
14
15
15
15
15
15
15
17
17
17
17
3
3
-9
-9
-9
-3
-3
0
0
0
0
0
0
0
-14
-14
-14
-14
-27
-27
-34
-34
-34
-34
-34
-34
-34
-21
-21
-21
-21
-29
-29
19
19
19
19
18
18
18
18
15
15
15
15
14
14
14
14
14
9
9
9
9
9
15
24
24
24
24
24
24
24
24
20
20
20
21
21
21
21
20
20
20
21
20
20
20
20
20
20
19
19
19
19
19
19
3
3
3
3
3
3
-5
-5
-15
-15
-27
-27
-27
-27
-27
-27
-27
-18
-18
-18
-18
-14
-14
-14
-14
20
20
20
20
20
20
17
17
17
17
17
17
19
19
19
19
19
19
19
17
17
17
13
13
13
13
13
13
13
13
27
27
27
27
27
24
24
24
24
24
27
27
27
27
27
17
17
17
17
17
19
19
19
19
19
19
20
20
20
20
21
21
21
21
19
19
19
19
6
6
21
21
21
21
21
21
21
17
17
17
18
18
18
18
18
18
18
18
19
19
19
19
19
19
20
20
20
20
20
20
22
22
22
22
22
22
22
23
23
23
23
23
22
22
21
21
21
21
20
20
18
18
18
18
18
18
17
17
17
17
17
17
23
23
23
23
23
23
23
23
23
23
23
23
23
23
23
23
23
22
25
25
25
25
28
22
23
22
22
22
17
17
15
15
15
15
4
4
4
4
-6
-6
-6
-2
-2
-2
-2
-2
-8
-8
-8
-8
-8
-20
-20
-20
-29
17
17
17
17
17
17
22
22
22
18
18
18
18
18
18
18
17
17
17
17
17
19
19
19
19
21
21
21
21
21
17
17
17
17
17
22
22
22
22
22
10
10
-4
-4
-4
-4
-19
-19
-34
-34
-34
-34
-34
24
24
24
24
24
21
21
21
21
21
21
21
17
17
23
23
23
23
23
18
18
18
18
18
17
17
17
17
20
20
16
16
16
16
18
18
18
18
22
22
22
22
22
20
20
20
20
20
19
19
19
19
19
19
19
19
16
16
16
16
17
17
17
17
17
17
17
15
15
15
4
4
-8
22
22
22
22
22
22
26
26
26
26
26
26
23
23
18
18
18
18
18
18
17
17
17
17
17
17
17
20
20
20
19
19
28
28
28
28
28
25
25
25
25
25
25
21
21
21
19
19
19
19
19
17
19
19
19
19
16
16
16
16
16
16
16
16
16
16
16
17
17
17
18
18
18
18
19
19
19
19
19
19
19
23
23
23
23
20
20
20
20
21
21
9
9
9
2
2
2
2
2
2
-10
-10
-17
-17
-17
-17
-23
-23
-23
-23
-31
-31
-31
-31
-32
-32
-32
-32
-32
-32
-32
-32
22
22
22
22
22
19
19
19
19
19
19
19
19
19
13
13
15
15
15
15
15
15
25
25
25
25
25
25
21
21
21
21
21
24
24
24
24
23
23
23
23
23
23
23
18
18
18
18
18
18
18
18
18
19
19
19
19
19
19
22
22
22
8
8
5
17
17
17
17
17
17
18
18
18
18
18
18
18
18
18
18
18
18
24
24
24
22
22
22
22
20
20
20
21
20
20
20
20
20
20
20
20
24
24
24
24
24
16
11
-1
-1
-1
-1
-6
-6
-6
-6
-6
-6
-11
-11
-16
-16
-16
-16
-24
-24
-24
-24
-23
-23
-26
-26
-26
-26
-30
-30
-30
-30
-30
-30
-30
-30
-30
-30
-32
-32
-32
-32
-33
-33
-33
-33
24
24
24
24
25
25
25
25
25
25
27
27
27
27
27
27
25
25
25
25
25
25
25
21
21
21
21
21
20
20
20
18
18
18
18
18
18
21
21
21
21
21
21
23
23
23
23
23
23
22
22
22
22
22
22
26
26
26
26
26
26
22
22
22
22
20
20
20
20
20
19
19
19
19
19
19
20
20
20
20
20
20
20
23
23
23
22
22
22
22
22
22
22
22
22
22
23
23
23
18
18
18
18
18
14
14
14
14
9
9
9
10
9
10
12
12
12
12
12
10
10
10
10
10
10
10
15
15
15
15
22
22
22
22
22
22
22
22
24
24
26
26
26
26
