points_gained
1
1
1
6
2
1
1
7
1
6
1
1
5
2
7
1
-3
-1
1
-1
1
5
-1
5
-3
-2
-3
-2
-3
2
2
1
1
1
2
2
1
9
1
1
1
-1
-1
1
1
2
1
1
4
1
10
1
8
1
1
6
1
1
8
-2
1
5
1
7
-2
-1
-1
-1
-1
-1
1
1
1
1
1
1
1
1
-1
7
8
-1
-1
1
5
1
