card_name,times_played
Peek,1
Bounty,1
Wall,1
Bounty,1
Swap,1
Deflate,1
Inflate,1
Oracle,1
Blind,1
Bounty,1
Deflate,1
Bounty,1
Inflate,1
Inflate,1
Inflate,1
Peek,1
Peek,1
Inflate,1
Deflate,1
Peek,1
Deflate,1
Inflate,1
Peek,1
Inflate,1
Deflate,1
Inflate,1
Deflate,1
Blind,1
Lock,1
Deflate,1
