points_gained
1
1
1
1
1
1
1
5
10
7
1
3
9
1
1
1
1
2
5
3
10
6
2
1
1
1
2
6
1
1
6
1
1
1
7
1
1
5
1
5
2
3
1
1
1
1
5
1
7
1
1
2
8
2
1
1
1
1
3
1
1
9
1
6
2
1
1
1
5
1
1
