points_diff
1
2
1
2
1
2
1
2
-3
-2
-1
-3
2
0
10
8
15
16
15
18
15
24
1
0
1
-1
0
1
-1
1
0
5
3
6
-7
3
2
8
7
9
10
9
10
11
10
12
11
17
18
17
18
24
1
0
1
0
1
8
7
8
9
7
12
11
12
11
16
18
17
20
1
2
-1
0
-1
0
-1
4
1
2
9
7
8
7
8
10
7
15
14
16
9
10
4
5
6
4
5
3
6
7
1
2
1
10
8
9
8
14
15
17
20
1
0
1
0
1
-1
4
2
3
-4
-3
-4
2
0
1
-1
0
-1
1
-6
-4
-5
1
0
6
5
6
5
6
5
6
5
6
5
19
18
20
1
-1
0
-1
0
6
3
4
3
4
2
9
8
10
7
14
12
13
12
21
1
-1
1
-1
10
9
10
9
16
15
17
16
26
1
-1
0
-1
1
0
3
2
9
8
10
5
6
5
10
9
11
10
18
17
18
17
24
3
2
3
1
3
1
10
9
10
9
14
12
14
13
16
15
20
1
-2
-1
-3
-2
-3
-2
-4
2
1
8
7
9
8
14
11
12
11
12
11
19
18
19
18
19
17
25
1
-1
0
-1
0
-1
0
-1
2
0
8
7
17
16
19
18
29
1
0
1
0
1
-1
4
3
4
2
2
1
2
1
2
1
7
6
8
7
8
7
8
7
16
13
14
13
14
13
18
16
18
17
25
1
-1
1
-1
0
-3
-2
-4
12
11
12
10
11
10
18
21
1
-2
-1
-3
-2
-4
4
2
3
2
3
-4
-3
-4
-3
-4
12
10
11
10
17
14
16
15
16
14
19
10
11
10
9
12
15
18
19
18
16
18
17
16
14
15
17
16
17
20
1
-2
0
-1
0
-1
7
6
8
5
13
12
14
12
20
1
-1
0
-1
0
-1
6
5
6
5
14
11
1
-1
0
-3
-2
-3
2
0
3
2
4
3
16
15
16
15
16
15
16
15
33
1
-2
-1
-3
-1
-2
4
3
4
3
4
3
11
10
1
-1
1
0
1
-5
-4
-7
-1
-2
-1
-2
5
4
5
2
4
3
13
12
13
12
17
16
25
1
0
1
-1
1
0
6
5
6
1
2
1
2
0
10
9
11
9
11
10
15
12
20
1
-1
0
-1
4
3
6
5
6
5
13
11
12
11
18
17
18
17
24
1
0
1
0
9
7
8
5
14
13
14
13
14
13
19
18
27
1
0
1
0
1
0
5
2
9
7
9
6
13
12
13
12
19
18
19
17
24
2
1
3
2
4
3
14
12
18
16
17
16
17
16
25
1
0
1
0
1
0
1
0
5
4
7
6
9
-5
-2
-3
-2
-4
4
3
6
-3
-2
-3
4
2
3
2
3
-3
-2
-3
-1
-2
4
5
7
-1
-4
-5
-4
-5
-4
-3
-1
-2
0
3
4
5
2
0
3
6
3
2
-11
-8
-9
-6
-8
-6
-12
-10
-13
-11
-24
1
0
1
0
2
1
4
3
4
3
9
8
9
8
13
12
13
10
15
14
15
24
1
-2
-1
-2
1
0
7
6
1
0
1
0
1
0
2
1
6
5
3
2
3
1
2
1
8
7
9
8
9
3
8
7
8
7
9
7
9
7
8
7
16
13
25
1
2
3
8
1
2
3
12
15
16
18
19
2
0
1
-2
-1
-12
-11
-12
-11
-12
-7
-6
-9
-6
-8
3
2
7
9
8
9
8
14
13
14
15
14
15
22
1
0
2
1
4
3
4
-3
-1
2
1
2
1
2
-4
-3
-6
-5
-10
-9
2
1
2
1
2
1
7
14
13
14
13
22
1
0
1
0
1
0
9
8
9
8
15
17
16
22
1
0
1
2
0
1
0
5
8
7
10
9
17
16
17
24
2
1
4
3
7
8
6
8
7
9
7
8
7
18
16
17
18
16
25
1
-1
1
-1
1
0
2
4
2
4
3
4
1
17
20
1
0
1
0
7
6
7
2
1
2
-1
2
0
10
12
11
12
9
17
16
19
22
2
0
1
0
8
5
6
4
14
13
14
13
14
15
23
1
-2
-1
10
8
9
8
11
8
9
7
8
16
15
16
14
27
1
0
2
-1
11
10
11
10
11
9
15
16
15
17
16
32
1
1
1
0
2
3
4
5
11
14
11
13
24
2
1
3
0
1
0
8
7
8
7
15
14
16
26
2
1
3
2
4
3
11
10
11
10
11
12
5
6
5
10
12
10
20
3
2
4
2
5
15
14
15
14
21
2
0
1
-1
6
9
8
10
7
15
14
15
14
15
14
23
