points_gained
3
1
1
13
1
1
6
9
1
6
3
1
1
1
1
1
1
1
4
1
9
1
1
2
1
1
2
6
1
3
1
1
1
7
1
9
1
6
9
2
1
-3
-5
3
-2
-4
-1
-2
-3
-2
-1
2
1
1
3
1
6
2
11
1
1
1
8
1
6
1
7
5
1
5
1
