card_name,times_played
Two Time,1
Two Time,1
Two Time,1
Inflate,1
Trap,1
Oracle,1
Two Time,1
Inflate,1
Oracle,1
Lock,1
Lock,1
Oracle,1
Bounty,1
Peek,1
Peek,1
Payback,1
Two Time,1
Inflate,1
Trap,1
Two Time,1
Blind,1
Blind,1
Two Time,1
Two Time,1
Inflate,1
Two Time,1
Peek,1
Blind,1
Bounty,1
Payback,1
Lock,1
Two Time,1
Two Time,1
Scramble,1
Oracle,1
Curse,1
Payback,1
