points_gained
1
1
1
3
1
2
10
1
7
1
9
2
1
1
2
1
1
8
1
3
5
4
4
1
1
1
3
1
2
8
3
1
1
5
1
10
2
5
2
1
1
1
1
4
4
1
1
2
1
1
8
1
5
1
1
3
7
3
1
1
5
3
2
8
1
2
2
4
2
-1
6
-1
-2
3
-1
-12
4
-2
-6
-3
-2
-2
-3
-1
-1
-3
-8
-3
-18
-2
-3
-2
-3
-3
-13
-15
1
1
2
1
8
1
4
1
1
3
11
3
6
1
8
1
1
1
1
4
1
9
2
6
1
3
1
5
4
1
2
2
1
1
2
6
1
8
-4
-2
7
1
-2
-2
-1
-4
-3
-1
-3
-2
-1
-1
-3
-2
-3
-18
1
1
1
1
1
1
1
1
1
1
1
5
1
1
5
2
3
1
3
1
1
1
1
1
2
13
1
11
1
1
1
2
1
12
1
7
4
1
1
3
3
8
2
1
3
2
1
1
10
1
3
18
2
5
2
2
2
11
3
10
1
3
-7
1
7
1
1
