points_diff
1
0
2
1
7
4
6
4
5
4
12
15
14
22
1
-2
-1
-2
-1
-8
-7
-5
-6
2
0
1
-1
5
6
4
5
4
9
7
8
7
13
12
13
12
17
16
18
17
24
1
4
2
3
2
3
0
7
5
8
7
21
