board_value
25
25
25
25
25
25
25
25
25
25
25
23
23
23
20
20
20
20
20
20
20
20
20
20
19
19
19
19
19
19
19
19
19
23
23
23
23
23
23
23
23
9
9
9
9
24
24
24
24
24
24
24
24
23
23
23
23
